player,position,start_price,current_price,own,games,be,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17,round_18
R Atkins,Mid,572000,445000,1.2,15,71,50,71,100,103,85,100,66,122,43,76,55,36,46,,,,100,53
L Brown,Def,412000,377000,0.5,15,54,46,90,99,59,69,100,55,78,,9,54,66,,,44,56,68,56
P Dangerfield,"Mid,Fwd",849000,660000,25.5,16,82,,118,102,97,109,70,109,106,105,117,96,103,75,,100,76,151,107
R Douglas,Mid,570000,478000,0.4,14,95,38,,93,76,71,113,115,71,92,69,72,79,35,,83,57,,
C Ellis-Yolmen,Mid,389000,526000,4.5,12,123,66,121,61,92,89,103,89,102,96,57,60,51,,,,,,
K Hartigan,Def,318000,353000,1.2,13,43,38,77,55,47,8,,,,43,29,44,58,79,,47,62,59,
R Henderson,Mid,615000,509000,0.2,16,91,89,90,91,91,96,93,,86,54,112,83,,58,82,54,89,65,89
S Jacobs,Ruc,700000,553000,10.6,17,77,75,120,105,85,72,83,105,53,78,49,81,75,80,,108,94,76,57
J Jenkins,Fwd,572000,463000,1.4,17,67,64,114,71,43,59,63,82,65,59,85,91,82,46,,48,79,88,85
S Kerridge,Mid,592000,571000,0.1,8,85,,,,,66,104,89,90,86,48,112,,93,,,,,
R Laird,Def,707000,717000,63.2,15,104,124,141,120,115,89,114,100,83,102,125,105,,,,102,110,122,89
T T. Lynch,Fwd,640000,493000,1.1,12,71,,,88,48,90,121,73,92,56,66,41,,,,,84,94,75
J Lyons,Mid,665000,630000,1.2,15,90,84,134,151,76,78,131,61,81,82,,,,99,83,113,91,104,76
D Mackay,"Mid,Def",473000,424000,0.8,13,83,75,43,78,48,,68,79,49,88,72,59,54,64,,51,,,
S McKernan,"Ruc,Fwd",367000,491000,5.6,10,57,,,,,,,,102,100,59,68,59,,46,105,93,77,33
A Otten,"Def,Fwd",449000,416000,0.3,6,39,,,,,74,38,38,62,73,,,,96,,,,,
R Sloane,Mid,754000,595000,3.2,8,82,91,115,67,46,,,,,,,,,,,68,111,111,77
D Talia,Def,361000,406000,2.3,17,61,53,66,74,87,39,81,52,33,56,72,65,58,79,,37,75,0,46
B Vince,Def,549000,370000,1.0,15,85,67,46,84,48,89,50,88,46,76,70,47,42,,39,,,44,72
