player,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17,round_18,round_19,round_20,round_21,round_22
P Dangerfield,,118.0,102.0,97.0,109.0,70.0,109.0,106.0,105.0,117.0,96.0,103.0,75.0,,100.0,76.0,151.0,107.0,66.0,128.0,126.0,
R Laird,124.0,141.0,120.0,115.0,89.0,114.0,100.0,83.0,102.0,125.0,105.0,,,,102.0,110.0,122.0,89.0,72.0,67.0,99.0,
T Rockliff,52.0,33.0,78.0,43.0,,,,127.0,106.0,,43.0,92.0,128.0,73.0,95.0,114.0,80.0,106.0,99.0,69.0,85.0,
E Yeo,104.0,99.0,46.0,138.0,108.0,90.0,91.0,112.0,110.0,93.0,86.0,,136.0,117.0,83.0,118.0,76.0,134.0,136.0,113.0,122.0,
D Beams,97.0,73.0,0.0,88.0,87.0,113.0,120.0,69.0,119.0,127.0,137.0,50.0,,113.0,112.0,133.0,116.0,85.0,129.0,92.0,110.0,
B Grundy,84.0,127.0,141.0,126.0,110.0,115.0,111.0,128.0,135.0,124.0,131.0,101.0,,103.0,151.0,122.0,68.0,104.0,147.0,150.0,89.0,
S Menegola,69.0,50.0,120.0,118.0,103.0,88.0,65.0,121.0,71.0,120.0,125.0,86.0,103.0,,107.0,91.0,82.0,115.0,97.0,112.0,126.0,
G Ablett,117.0,138.0,71.0,,,,,105.0,47.0,107.0,119.0,137.0,90.0,,112.0,54.0,110.0,110.0,130.0,76.0,152.0,
S Coniglio,146.0,120.0,111.0,121.0,112.0,102.0,92.0,111.0,92.0,123.0,106.0,0.0,,71.0,118.0,104.0,111.0,116.0,98.0,144.0,74.0,
D Smith,91.0,115.0,72.0,91.0,91.0,101.0,94.0,117.0,96.0,113.0,129.0,94.0,,106.0,69.0,150.0,122.0,121.0,95.0,97.0,125.0,
L Whitfield,114.0,123.0,65.0,66.0,67.0,126.0,94.0,98.0,70.0,101.0,106.0,120.0,,93.0,84.0,105.0,150.0,114.0,130.0,118.0,135.0,
M Gawn,138.0,78.0,114.0,127.0,143.0,135.0,111.0,111.0,105.0,74.0,141.0,82.0,,113.0,135.0,124.0,108.0,91.0,99.0,111.0,78.0,
C Wingard,92.0,54.0,73.0,53.0,47.0,73.0,,73.0,63.0,,49.0,121.0,124.0,73.0,102.0,106.0,97.0,81.0,105.0,86.0,87.0,
S Ross,123.0,91.0,132.0,67.0,118.0,78.0,121.0,82.0,86.0,133.0,95.0,89.0,137.0,,67.0,77.0,,121.0,105.0,160.0,143.0,
J Lloyd,115.0,75.0,87.0,67.0,89.0,120.0,67.0,120.0,163.0,90.0,88.0,95.0,105.0,,125.0,112.0,100.0,73.0,94.0,91.0,117.0,
T Mitchell,156.0,137.0,148.0,83.0,83.0,147.0,119.0,58.0,149.0,135.0,145.0,,120.0,84.0,195.0,96.0,157.0,187.0,160.0,146.0,130.0,
S Hurn,112.0,118.0,87.0,98.0,62.0,124.0,82.0,89.0,81.0,68.0,108.0,,58.0,93.0,99.0,94.0,109.0,86.0,93.0,65.0,64.0,
M Crouch,123.0,33.0,,,,91.0,106.0,97.0,,103.0,116.0,67.0,106.0,,120.0,117.0,94.0,121.0,123.0,134.0,106.0,
P Cripps,130.0,95.0,89.0,76.0,138.0,112.0,82.0,93.0,140.0,92.0,57.0,,109.0,146.0,106.0,96.0,122.0,116.0,162.0,118.0,102.0,
Z Merrett,23.0,78.0,60.0,121.0,109.0,121.0,64.0,81.0,108.0,98.0,102.0,126.0,,103.0,106.0,124.0,138.0,112.0,99.0,134.0,119.0,
A Brayshaw,,,,67.0,53.0,78.0,113.0,80.0,101.0,166.0,133.0,47.0,,103.0,116.0,113.0,128.0,88.0,95.0,143.0,108.0,
J Dunkley,88.0,77.0,89.0,117.0,41.0,71.0,99.0,95.0,57.0,,,,,74.0,112.0,109.0,99.0,104.0,116.0,127.0,96.0,
B Sier,,,,,,,,,,,,,,,82.0,51.0,54.0,69.0,,89.0,98.0,
A Brayshaw,45.0,71.0,43.0,46.0,75.0,58.0,78.0,74.0,54.0,65.0,74.0,53.0,95.0,,74.0,79.0,,,96.0,55.0,,
